diverse	happy	extra	ses	mod
3	4	3.25	0	0
2	4	4	0	0
3	4	4.5	0	0
2	4	3.25	0	0
4	4	4	0	0
4	4	4.25	0	0
3	4	5	0	0
3	4	2.75	0	0
3	4	3.25	0	0
3	4	3.25	0	0
2	4	3.25	0	0
2	4	4	0	0
3	4	3.25	0	0
2	4	4	0	0
1	4	3.25	0	0
3	4	3.5	0	0
3	4	3.75	0	0
4	4	4	0	0
2	4	4	0	0
1	4	3.5	0	0
5	4	4	0	0
4	4	3.75	0	0
2	4	3.25	0	0
2	3	2	0	0
1	3	3.25	0	0
2	3	4.25	0	0
3	3	2.75	0	0
2	3	3.75	0	0
3	3	3.25	0	0
1	3	4.25	0	0
4	3	3.75	0	0
3	3	3.5	0	0
2	3	3.75	0	0
2	3	3	0	0
2	3	4.5	0	0
4	3	4.75	0	0
1	3	4.5	0	0
3	3	3.75	0	0
3	3	3	0	0
4	3	4.5	0	0
4	3	3.75	0	0
4	3	3.75	0	0
2	3	3.75	0	0
3	3	2.75	0	0
3	3	4.5	0	0
2	3	4	0	0
1	3	2.25	0	0
1	3	3.5	0	0
2	3	4	0	0
2	3	3.75	0	0
4	3	3	0	0
2	3	4.25	0	0
4	3	2.5	0	0
3	3	3	0	0
3	3	4.75	0	0
2	3	4.25	0	0
2	3	3.25	0	0
2	3	3.5	0	0
3	3	4	0	0
2	3	3.75	0	0
2	3	3.5	0	0
3	3	4	0	0
2	3	3.25	0	0
2	3	4.75	0	0
4	3	3.5	0	0
4	3	3.75	0	0
2	3	3	0	0
3	3	4	0	0
3	3	2.75	0	0
4	3	5	0	0
4	3	4.25	0	0
5	3	4.25	0	0
2	3	3.25	0	0
2	3	3.5	0	0
3	3	4	0	0
3	3	3.75	0	0
4	3	3.25	0	0
3	3	3.5	0	0
2	3	3.5	0	0
4	3	4.25	0	0
3	3	4.5	0	0
3	3	2.75	0	0
2	3	4.25	0	0
4	3	4.5	0	0
3	3	2.75	0	0
2	3	2.75	0	0
2	3	3.75	0	0
4	3	3.75	0	0
4	3	3.25	0	0
2	3	4.25	0	0
2	3	4	0	0
3	3	3.5	0	0
2	3	3.75	0	0
3	3	3.5	0	0
3	3	3	0	0
3	2	3.75	0	0
2	2	4.25	0	0
3	2	4	0	0
3	2	4.25	0	0
2	2	3	0	0
2	2	3.5	0	0
2	2	2.75	0	0
3	2	3.5	0	0
2	2	3.75	0	0
1	2	3	0	0
2	2	3	0	0
3	2	3.25	0	0
4	2	3.25	0	0
4	2	3.75	0	0
2	2	3	0	0
2	2	3	0	0
4	2	4.25	0	0
3	2	4.25	0	0
3	2	4.25	0	0
3	2	3	0	0
2	2	3	0	0
3	2	3.75	0	0
2	2	3.75	0	0
2	2	3	0	0
4	2	3.75	0	0
3	2	3.75	0	0
2	2	4.75	0	0
3	2	3.5	0	0
3	2	3.5	0	0
2	2	4	0	0
2	2	2.5	0	0
4	2	3.25	0	0
4	2	5	0	0
3	2	3	0	0
4	1	5	0	0
3	1	3	0	0
4	1	3.25	0	0
2	1	3.75	0	0
2	1	3.75	0	0
3	1	2.75	0	0
2	1	3.75	0	0
2	1	4.75	0	0
3	1	3.75	0	0
